,Score,Sentece1,Sentece2
0,2.5,A girl is styling her hair.,A girl is brushing her hair.
1,3.6,A group of men play soccer on the beach.,A group of boys are playing soccer on the beach.
2,5.0,One woman is measuring another woman's ankle.,A woman measures another woman's ankle.
3,4.2,A man is cutting up a cucumber.,A man is slicing a cucumber.
4,1.5,A man is playing a harp.,A man is playing a keyboard.
5,1.8,A woman is cutting onions.,A woman is cutting tofu.
6,3.5,A man is riding an electric bicycle.,A man is riding a bicycle.
7,2.2,A man is playing the drums.,A man is playing the guitar.
8,2.2,A man is playing guitar.,A lady is playing the guitar.
9,1.714,A man is playing a guitar.,A man is playing a trumpet.
10,1.714,A man is playing a guitar.,A man is playing a trumpet.
11,5.0,A man is cutting an onion.,A man cuts an onion.
12,0.6,A man is cycling.,A man is talking.
13,4.4,A man is slicing open a fish.,A man is cutting up a fish.
14,2.0,A man is slicing a tomato.,A man is slicing a bun.
15,1.8,A man is playing a guitar.,A man is playing a keyboard.
16,4.4,A baby panda goes down a slide.,A panda slides down a slide.
17,3.6,A man is singing and playing a guitar.,A man is playing a guitar.
18,3.6,A man attacks a woman.,A man slaps a woman.
19,1.2,A man is driving a car.,A man is riding a horse.
20,2.4,A woman is cutting tofu.,A woman is cutting an onion.
21,0.2,The woman is styling her hair.,The woman is slicing herbs.
22,4.2,Two zebras play in an open field.,Two zebras are playing in a field.
23,4.4,A man is cutting a potato.,A man is slicing some potato.
24,2.25,A man is slicing an onion.,A woman is slicing a pumpkin.
25,2.0,A  man is dancing.,A man and woman is dancing.
26,0.75,A man is riding a motorcycle.,A woman is riding a horse.
27,2.2,A woman is slicing garlics.,A woman is slicing an onion.
28,0.8,A man is speaking.,A man is cooking.
29,2.2,A little boy is singing and playing a guitar.,A man is singing and playing the guitar.
30,3.2,A turtle is swimming in water.,A turtle is walking underwater.
31,4.8,A young woman is putting stickers all over her face.,A woman is applying stickers to her face.
32,1.4,A woman is wrapping tofu.,A woman is balling dough.
33,4.25,A cat is eating some corn.,A cat is eating corn on the cob.
34,3.4,A man is eating a food.,A man is eating a piece of bread.
35,0.533,A man is playing a guitar.,A man is eating pasta.
36,0.4,A man is kicking pots of water.,A man is picking flowers.
37,1.2,A man is cutting a pipe with scissors.,A man is cutting carpet with a knife.
38,5.0,A woman is dancing in the rain.,A woman dances in the rain out side.
39,0.538,A woman is taking a bath.,A woman is riding a horse.
40,3.75,A man mixes vegetables in a pot.,A person is stirring vegetables in a pot.
